,datetime,Pittsburgh,Chicago
0,2012-10-01 12:00:00,,
1,2012-10-01 13:00:00,281.0,284.01
2,2012-10-01 14:00:00,281.024767377,284.054690974
3,2012-10-01 15:00:00,281.088318736,284.177412183
4,2012-10-01 16:00:00,281.151870096,284.300133393
5,2012-10-01 17:00:00,281.215421455,284.422854602
6,2012-10-01 18:00:00,281.278972814,284.545575811
7,2012-10-01 19:00:00,281.342524173,284.668297021
8,2012-10-01 20:00:00,281.406075533,284.79101823
9,2012-10-01 21:00:00,281.469626892,284.91373944
10,2012-10-01 22:00:00,281.533178251,285.036460649
11,2012-10-01 23:00:00,281.596729611,285.159181859
12,2012-10-02 00:00:00,281.66028097,285.281903068
13,2012-10-02 01:00:00,281.723832329,285.404624277
14,2012-10-02 02:00:00,281.787383688,285.527345487
15,2012-10-02 03:00:00,281.850935048,285.650066696
16,2012-10-02 04:00:00,281.914486407,285.772787906
17,2012-10-02 05:00:00,281.978037766,285.895509115
18,2012-10-02 06:00:00,282.041589126,286.018230325
19,2012-10-02 07:00:00,282.105140485,286.140951534
20,2012-10-02 08:00:00,282.168691844,286.263672743
21,2012-10-02 09:00:00,282.232243204,286.386393953
22,2012-10-02 10:00:00,282.295794563,286.509115162
23,2012-10-02 11:00:00,282.359345922,286.631836372
24,2012-10-02 12:00:00,282.422897281,286.754557581
25,2012-10-02 13:00:00,282.486448641,286.877278791
26,2012-10-02 14:00:00,282.55,287.0
27,2012-10-02 15:00:00,285.51,289.3
28,2012-10-02 16:00:00,287.07,289.85
29,2012-10-02 17:00:00,288.89,290.92
30,2012-10-02 18:00:00,291.07,291.25
31,2012-10-02 19:00:00,291.07,291.18
32,2012-10-02 20:00:00,291.07,290.85
33,2012-10-02 21:00:00,290.38,290.55
34,2012-10-02 22:00:00,289.44,289.99
35,2012-10-02 23:00:00,288.59,289.12
36,2012-10-03 00:00:00,288.16,288.08
37,2012-10-03 01:00:00,288.34,287.94
38,2012-10-03 02:00:00,288.16,287.31
39,2012-10-03 03:00:00,288.05,287.09
40,2012-10-03 04:00:00,287.61,286.7
41,2012-10-03 05:00:00,287.73,286.87
42,2012-10-03 06:00:00,287.72,286.87
43,2012-10-03 07:00:00,287.44,286.56
44,2012-10-03 08:00:00,287.44,286.56
45,2012-10-03 09:00:00,287.57,286.64
46,2012-10-03 10:00:00,288.02,286.56
47,2012-10-03 11:00:00,288.02,286.38
48,2012-10-03 12:00:00,289.46,287.31
49,2012-10-03 13:00:00,289.79,288.24
50,2012-10-03 14:00:00,290.62,290.58
51,2012-10-03 15:00:00,291.223333333,291.313333333
52,2012-10-03 16:00:00,291.826666667,292.046666667
53,2012-10-03 17:00:00,292.43,292.78
54,2012-10-03 18:00:00,294.17,293.02
55,2012-10-03 19:00:00,294.88,292.96
56,2012-10-03 20:00:00,295.73,292.76
57,2012-10-03 21:00:00,295.89,292.49
58,2012-10-03 22:00:00,295.215,291.5
59,2012-10-03 23:00:00,294.54,290.51
60,2012-10-04 00:00:00,293.51,289.87
61,2012-10-04 01:00:00,292.96,289.8
62,2012-10-04 02:00:00,292.28,289.94
63,2012-10-04 03:00:00,291.94,289.93
64,2012-10-04 04:00:00,291.25,289.91
65,2012-10-04 05:00:00,291.53,290.0
66,2012-10-04 06:00:00,291.53,289.86
67,2012-10-04 07:00:00,291.53,289.86
68,2012-10-04 08:00:00,291.18,290.29
69,2012-10-04 09:00:00,291.43,290.13
70,2012-10-04 10:00:00,292.05,289.8
71,2012-10-04 11:00:00,292.23,289.53
72,2012-10-04 12:00:00,292.23,289.34
73,2012-10-04 13:00:00,292.55,289.14
74,2012-10-04 14:00:00,292.73,289.07
75,2012-10-04 15:00:00,293.69,289.4
76,2012-10-04 16:00:00,294.36,289.54
77,2012-10-04 17:00:00,294.68,289.88
78,2012-10-04 18:00:00,295.38,290.55
79,2012-10-04 19:00:00,296.09,290.93
80,2012-10-04 20:00:00,296.14,291.42
81,2012-10-04 21:00:00,295.89,291.29
82,2012-10-04 22:00:00,295.89,290.89
83,2012-10-04 23:00:00,294.2,290.41
84,2012-10-05 00:00:00,292.84,289.99
85,2012-10-05 01:00:00,292.34,289.57
86,2012-10-05 02:00:00,290.97,289.52
87,2012-10-05 03:00:00,290.59,289.52
88,2012-10-05 04:00:00,290.25,289.45
89,2012-10-05 05:00:00,289.22,289.24
90,2012-10-05 06:00:00,289.11,288.96
91,2012-10-05 07:00:00,288.42,288.48
92,2012-10-05 08:00:00,287.73,288.0
93,2012-10-05 09:00:00,288.05,287.87
94,2012-10-05 10:00:00,288.37,287.74
95,2012-10-05 11:00:00,288.13,287.54
96,2012-10-05 12:00:00,287.64,287.33
97,2012-10-05 13:00:00,289.42,288.25
98,2012-10-05 14:00:00,291.6,290.74
99,2012-10-05 15:00:00,292.12,292.6
100,2012-10-05 16:00:00,294.02,294.79
101,2012-10-05 17:00:00,294.02,296.37
102,2012-10-05 18:00:00,295.54,298.62
103,2012-10-05 19:00:00,295.54,298.04
104,2012-10-05 20:00:00,296.07,297.62
105,2012-10-05 21:00:00,295.5,295.71
